Ax	Ay	Az	p	q	r	mx	my	mz	
-0.01	0.09	-9.74	0.01	0.00	0.00	14.29	12.68	4.56	
-0.00	0.09	-9.75	0.00	0.00	0.00	13.84	12.70	3.79	
-0.00	0.09	-9.75	0.00	0.01	0.00	13.55	12.72	3.28	
-0.00	0.09	-9.75	0.00	0.01	0.00	13.37	12.74	2.96	
-0.00	0.08	-9.76	0.00	0.01	0.00	13.24	12.74	2.75	
-0.00	0.08	-9.76	0.00	0.01	0.00	13.16	12.75	2.61	
-0.00	0.07	-9.77	0.00	0.01	0.00	13.11	12.75	2.52	
-0.00	0.07	-9.77	0.00	0.01	0.00	13.08	12.75	2.46	
-0.00	0.08	-9.76	0.00	0.00	0.00	13.06	12.76	2.42	
-0.00	0.08	-9.76	0.00	0.00	0.00	13.04	12.76	2.40	
-0.00	0.08	-9.76	0.00	0.00	0.00	13.03	12.76	2.38	
-0.00	0.08	-9.75	0.00	0.00	0.00	13.03	12.76	2.37	
-0.00	0.07	-9.74	0.00	0.00	0.00	13.02	12.76	2.37	
-0.00	0.07	-9.74	0.00	0.00	0.00	13.02	12.76	2.36	
-0.00	0.07	-9.73	0.00	0.00	0.00	13.02	12.76	2.36	
0.06	0.06	-9.75	0.00	0.00	0.00	13.02	12.76	2.36	
0.11	0.05	-9.75	0.00	0.00	0.00	13.02	12.76	2.36	
0.13	0.05	-9.76	0.00	0.00	0.00	13.02	12.76	2.35	
0.15	0.04	-9.76	0.00	0.00	0.00	13.02	12.76	2.35	
0.07	0.05	-9.75	0.00	0.00	-0.01	13.02	12.76	2.35	
0.02	0.05	-9.74	0.01	0.00	-0.01	13.02	12.76	2.35	
-0.01	0.06	-9.73	0.01	0.00	-0.01	13.02	12.76	2.35	
-0.01	0.06	-9.75	0.00	0.00	-0.01	13.45	12.45	1.81	
-0.01	0.06	-9.76	0.00	0.00	-0.01	13.74	12.25	1.46	
-0.02	0.06	-9.76	0.00	0.00	-0.01	13.92	12.12	1.23	
-0.02	0.06	-9.77	0.00	0.00	-0.00	14.04	12.03	1.09	
-0.01	0.06	-9.77	0.00	0.00	-0.00	14.12	11.98	0.99	
-0.01	0.06	-9.77	0.00	0.00	-0.00	14.17	11.94	0.93	
-0.01	0.06	-9.77	-0.00	0.00	-0.00	14.20	11.92	0.89	
-0.01	0.06	-9.77	-0.00	0.00	-0.00	14.22	11.90	0.86	
-0.01	0.06	-9.76	-0.00	-0.00	-0.00	14.24	11.89	0.84	
-0.01	0.06	-9.76	-0.00	-0.00	0.00	14.24	11.88	0.83	
-0.01	0.06	-9.76	-0.00	-0.00	0.00	14.25	11.88	0.82	
-0.01	0.07	-9.75	-0.00	-0.00	0.00	14.25	11.88	0.82	
-0.01	0.07	-9.75	-0.00	-0.00	0.00	14.26	11.88	0.82	
-0.00	0.07	-9.74	-0.00	-0.00	0.00	14.26	11.87	0.81	
-0.00	0.07	-9.74	-0.00	-0.00	0.00	14.26	11.87	0.81	
-0.01	0.07	-9.75	-0.00	-0.00	0.00	14.26	11.87	0.81	
-0.01	0.07	-9.75	-0.00	-0.00	0.00	14.26	11.87	0.81	
-0.01	0.07	-9.75	-0.00	-0.00	0.00	14.26	11.87	0.81	
-0.01	0.07	-9.75	-0.00	-0.00	0.00	14.26	11.87	0.81	
-0.00	0.06	-9.75	-0.00	-0.00	0.00	14.26	11.87	0.81	
0.00	0.06	-9.75	-0.00	-0.00	0.00	14.26	11.87	0.81	
0.00	0.06	-9.74	-0.00	-0.00	-0.00	14.26	11.87	0.81	
-0.00	0.06	-9.75	-0.00	-0.00	0.00	14.26	11.87	0.81	
-0.00	0.06	-9.75	-0.00	-0.00	0.00	14.26	11.87	0.81	
-0.01	0.06	-9.76	-0.00	-0.00	0.00	14.26	11.87	0.81	
-0.01	0.05	-9.76	-0.00	-0.00	0.00	14.26	11.87	0.81	
-0.01	0.06	-9.77	-0.00	-0.00	0.00	14.32	12.27	0.27	
-0.01	0.06	-9.77	-0.00	-0.00	0.00	14.36	12.53	-0.08	
-0.02	0.06	-9.77	-0.00	-0.00	0.00	14.39	12.70	-0.31	
-0.01	0.06	-9.77	-0.00	-0.00	0.00	14.41	12.81	-0.46	
-0.01	0.06	-9.76	-0.00	-0.00	0.00	14.42	12.88	-0.55	
-0.00	0.06	-9.76	-0.00	-0.00	0.00	14.43	12.92	-0.62	
-0.00	0.06	-9.76	-0.00	-0.00	0.00	14.43	12.95	-0.66	
-0.02	0.06	-9.75	-0.00	-0.00	-0.00	14.43	12.97	-0.68	
-0.03	0.06	-9.74	-0.00	-0.00	-0.00	14.44	12.99	-0.70	
-0.04	0.07	-9.74	-0.00	-0.00	-0.00	14.44	13.00	-0.71	
-0.04	0.07	-9.74	-0.00	-0.00	-0.00	14.44	13.00	-0.72	
-0.03	0.07	-9.75	-0.00	0.00	-0.00	14.44	13.00	-0.72	
-0.03	0.07	-9.75	-0.00	0.00	-0.00	14.44	13.01	-0.73	
-0.02	0.07	-9.76	-0.00	0.00	-0.00	14.44	13.01	-0.73	
-0.02	0.07	-9.76	-0.00	0.00	-0.00	14.44	13.01	-0.73	
-0.02	0.07	-9.76	-0.00	0.00	-0.00	14.44	13.01	-0.73	
-0.01	0.07	-9.77	-0.00	-0.00	-0.00	14.44	13.01	-0.73	
-0.01	0.07	-9.77	-0.00	-0.00	-0.00	14.44	13.01	-0.73	
-0.00	0.07	-9.76	-0.00	-0.00	-0.00	14.44	13.01	-0.73	
0.00	0.07	-9.75	-0.00	-0.00	0.00	14.44	13.01	-0.73	
0.01	0.07	-9.75	-0.00	0.00	0.00	14.44	13.01	-0.73	
0.01	0.07	-9.74	-0.00	0.00	0.00	14.44	13.01	-0.73	
0.01	0.07	-9.76	-0.00	-0.00	0.00	14.44	12.66	0.78	
0.00	0.07	-9.76	-0.00	-0.00	0.00	14.44	12.43	1.76	
0.00	0.07	-9.77	-0.00	-0.00	0.00	14.44	12.28	2.40	
0.03	0.06	-9.77	0.00	-0.00	0.00	14.44	12.18	2.82	
0.05	0.06	-9.77	0.00	-0.00	0.00	14.44	12.12	3.09	
0.07	0.06	-9.77	0.00	-0.00	0.00	14.44	12.08	3.26	
0.07	0.06	-9.77	0.00	-0.00	-0.00	14.44	12.05	3.38	
0.03	0.06	-9.77	-0.00	-0.00	-0.00	14.44	12.03	3.45	
-0.00	0.07	-9.76	-0.00	-0.00	-0.01	14.44	12.02	3.50	
-0.02	0.07	-9.76	-0.00	-0.00	-0.01	14.44	12.01	3.53	
-0.04	0.07	-9.76	-0.00	-0.00	-0.01	14.44	12.01	3.55	
-0.03	0.07	-9.76	-0.00	-0.00	-0.01	14.44	12.00	3.56	
-0.02	0.07	-9.77	-0.00	-0.00	-0.00	14.44	12.00	3.57	
-0.02	0.07	-9.77	-0.00	-0.00	-0.00	14.44	12.00	3.58	
-0.01	0.07	-9.76	-0.00	-0.00	-0.00	14.44	12.00	3.58	
-0.01	0.07	-9.75	-0.00	-0.00	-0.00	14.44	12.00	3.58	
-0.01	0.07	-9.75	-0.00	-0.00	-0.00	14.44	12.00	3.58	
-0.01	0.07	-9.74	-0.00	-0.00	0.00	14.44	12.00	3.58	
-0.01	0.07	-9.75	0.00	-0.00	0.00	14.44	12.00	3.59	
-0.01	0.07	-9.76	0.00	-0.00	0.00	14.44	12.00	3.59	
-0.01	0.07	-9.76	0.00	-0.00	0.00	14.44	12.00	3.59	
-0.01	0.07	-9.76	0.00	-0.00	0.00	14.44	12.00	3.59	
0.00	0.07	-9.77	0.00	-0.00	0.00	14.38	12.13	3.05	
0.00	0.07	-9.77	0.00	-0.00	0.00	14.34	12.22	2.70	
0.01	0.07	-9.77	0.00	-0.00	0.00	14.31	12.27	2.47	
0.00	0.07	-9.77	0.00	-0.00	0.00	14.29	12.31	2.32	
0.00	0.07	-9.78	0.00	-0.00	0.00	14.28	12.33	2.22	
0.00	0.07	-9.78	0.00	-0.00	0.00	14.28	12.35	2.16	
0.00	0.07	-9.78	0.00	-0.00	0.00	14.27	12.36	2.12	
0.01	0.07	-9.78	0.00	-0.00	0.00	14.27	12.37	2.09	
0.01	0.07	-9.77	0.00	0.00	0.00	14.27	12.37	2.08	
0.01	0.07	-9.77	0.00	0.00	0.00	14.26	12.37	2.07	
0.01	0.07	-9.77	0.00	0.00	0.00	14.26	12.38	2.06	
0.01	0.07	-9.77	0.00	0.00	0.00	14.26	12.38	2.05	
0.00	0.07	-9.77	0.00	0.00	0.01	14.26	12.38	2.05	
0.00	0.07	-9.77	0.00	0.00	0.01	14.26	12.38	2.05	
0.01	0.06	-9.75	-0.00	0.00	0.01	14.26	12.38	2.05	
0.02	0.06	-9.75	-0.00	0.00	0.01	14.26	12.38	2.05	
0.02	0.05	-9.74	-0.00	0.00	0.01	14.26	12.38	2.05	
0.02	0.05	-9.74	-0.00	0.00	0.01	14.26	12.38	2.05	
0.02	0.05	-9.75	-0.00	0.00	0.01	14.26	12.38	2.04	
0.02	0.06	-9.75	-0.00	0.00	0.01	14.26	12.38	2.04	
0.02	0.06	-9.75	-0.00	0.00	0.01	14.26	12.38	2.04	
0.01	0.06	-9.75	-0.00	0.00	0.01	14.26	12.38	2.04	
0.01	0.07	-9.75	-0.00	0.00	0.01	14.88	12.20	2.91	
0.01	0.07	-9.75	-0.00	0.00	0.01	15.29	12.09	3.47	
0.01	0.07	-9.75	-0.00	0.00	0.01	15.55	12.01	3.83	
0.01	0.06	-9.76	-0.00	0.00	0.00	15.72	11.96	4.07	
0.00	0.06	-9.76	-0.00	0.00	0.00	15.83	11.93	4.23	
0.00	0.06	-9.77	-0.00	0.00	0.00	15.91	11.91	4.33	
0.00	0.05	-9.77	-0.00	0.00	0.00	15.95	11.90	4.39	
0.00	0.05	-9.76	-0.00	0.00	0.00	15.98	11.89	4.43	
0.00	0.05	-9.76	-0.00	0.00	0.00	16.00	11.88	4.46	
0.00	0.05	-9.76	-0.00	0.00	0.00	16.02	11.88	4.48	
0.00	0.05	-9.76	-0.00	0.00	0.00	16.02	11.88	4.49	
0.00	0.05	-9.76	-0.00	0.00	0.00	16.03	11.88	4.50	
0.00	0.05	-9.77	-0.00	0.00	0.00	16.03	11.87	4.50	
0.00	0.05	-9.77	-0.00	0.00	0.00	16.04	11.87	4.51	
0.00	0.05	-9.76	-0.00	0.00	0.00	16.04	11.87	4.51	
0.01	0.06	-9.76	-0.00	0.00	0.00	16.04	11.87	4.51	
0.01	0.06	-9.76	-0.00	0.00	0.00	16.04	11.87	4.51	
0.01	0.06	-9.76	-0.00	0.00	0.00	16.04	11.87	4.51	
0.01	0.06	-9.76	-0.00	0.00	0.00	16.04	11.87	4.51	
0.01	0.06	-9.76	0.00	0.00	0.00	16.04	11.87	4.51	
0.01	0.06	-9.76	0.00	0.00	0.00	16.04	11.87	4.51	
0.01	0.06	-9.76	-0.00	0.00	0.00	16.04	11.87	4.51	
0.01	0.06	-9.76	-0.00	0.00	0.00	16.04	11.87	4.51	
0.01	0.06	-9.76	-0.00	0.00	0.00	16.04	11.87	4.51	
0.01	0.06	-9.76	-0.00	0.00	0.00	16.04	11.87	4.51	
0.01	0.06	-9.76	-0.00	0.00	0.00	15.23	12.09	3.76	
0.00	0.07	-9.76	-0.00	0.00	0.00	14.70	12.24	3.27	
0.00	0.07	-9.76	-0.00	0.00	0.00	14.36	12.33	2.95	
0.00	0.07	-9.76	-0.00	0.00	0.00	14.14	12.39	2.74	
0.00	0.07	-9.76	-0.00	0.00	0.00	14.00	12.43	2.60	
0.01	0.07	-9.76	-0.00	0.00	0.00	13.90	12.46	2.52	
0.01	0.07	-9.76	-0.00	0.00	0.00	13.84	12.47	2.46	
0.00	0.06	-9.76	-0.00	0.00	0.00	13.80	12.48	2.42	
0.00	0.06	-9.77	-0.00	0.00	0.00	13.78	12.49	2.40	
-0.00	0.06	-9.77	0.00	0.00	0.00	13.76	12.50	2.38	
-0.00	0.06	-9.77	0.00	0.00	0.00	13.75	12.50	2.37	
0.00	0.06	-9.76	0.00	0.00	0.00	13.74	12.50	2.37	
0.00	0.06	-9.76	0.00	0.00	0.00	13.74	12.50	2.36	
0.00	0.06	-9.75	0.00	0.00	0.00	13.73	12.50	2.36	
0.00	0.06	-9.75	0.00	0.00	0.00	13.73	12.50	2.36	
0.00	0.06	-9.75	0.00	0.00	0.00	13.73	12.50	2.36	
0.00	0.07	-9.76	0.00	0.00	0.00	13.73	12.50	2.35	
0.00	0.07	-9.76	0.00	0.00	0.00	13.73	12.50	2.35	
0.00	0.06	-9.75	0.00	0.00	0.00	13.73	12.50	2.35	
0.00	0.06	-9.75	-0.00	0.00	0.00	13.73	12.50	2.35	
0.00	0.06	-9.75	-0.00	0.00	0.00	13.73	12.50	2.35	
0.00	0.06	-9.75	-0.00	0.00	0.00	13.73	12.50	2.35	
0.01	0.06	-9.76	-0.00	0.00	0.00	13.60	12.86	2.14	
0.01	0.06	-9.77	-0.00	0.00	0.00	13.52	13.09	2.00	
0.01	0.06	-9.77	0.00	0.00	0.00	13.47	13.24	1.91	
0.01	0.06	-9.77	0.00	0.00	0.00	13.44	13.34	1.85	
0.01	0.06	-9.76	0.00	0.00	0.00	13.41	13.40	1.81	
0.00	0.06	-9.76	0.00	0.00	0.00	13.40	13.44	1.78	
0.00	0.06	-9.76	0.00	0.00	0.00	13.39	13.47	1.77	
-0.00	0.06	-9.75	0.00	0.00	0.00	13.38	13.48	1.76	
-0.00	0.06	-9.75	-0.00	0.00	0.00	13.38	13.50	1.75	
-0.01	0.06	-9.74	-0.00	0.00	0.00	13.38	13.50	1.74	
-0.01	0.06	-9.74	-0.00	0.00	0.00	13.38	13.51	1.74	
-0.01	0.06	-9.75	-0.00	0.00	0.00	13.37	13.51	1.74	
-0.00	0.06	-9.75	-0.00	0.00	0.00	13.37	13.51	1.74	
-0.00	0.07	-9.75	-0.00	0.00	0.00	13.37	13.51	1.74	
-0.00	0.07	-9.75	-0.00	0.00	0.00	13.37	13.52	1.74	
-0.00	0.06	-9.75	-0.00	0.00	0.00	13.37	13.52	1.74	
-0.00	0.06	-9.74	-0.00	0.00	0.00	13.37	13.52	1.74	
0.00	0.06	-9.74	-0.00	0.00	0.00	13.37	13.52	1.74	
-0.01	0.06	-9.74	-0.00	0.00	0.00	13.37	13.52	1.74	
-0.01	0.06	-9.73	-0.00	0.00	0.00	13.37	13.52	1.74	
-0.01	0.07	-9.73	-0.00	0.00	0.00	13.37	13.52	1.74	
-0.01	0.07	-9.73	-0.00	0.00	0.00	13.37	13.52	1.74	
-0.01	0.07	-9.75	-0.00	0.00	0.00	13.87	12.99	2.60	
-0.00	0.07	-9.76	0.00	0.00	0.00	14.19	12.64	3.16	
0.00	0.07	-9.77	0.00	0.00	0.00	14.40	12.42	3.53	
0.01	0.07	-9.77	0.00	0.00	0.00	14.54	12.27	3.76	
-0.00	0.07	-9.77	0.00	0.00	0.00	14.63	12.18	3.92	
-0.00	0.07	-9.77	0.00	0.00	0.00	14.69	12.11	4.02	
-0.01	0.06	-9.77	0.00	0.00	0.00	14.73	12.07	4.08	
-0.00	0.06	-9.77	0.00	0.00	0.00	14.75	12.05	4.13	
-0.00	0.06	-9.77	0.00	0.00	0.00	14.77	12.03	4.15	
0.00	0.06	-9.77	0.00	0.00	0.00	14.78	12.02	4.17	
0.00	0.06	-9.77	0.00	0.00	0.00	14.78	12.01	4.18	
0.00	0.06	-9.76	0.00	0.00	0.00	14.79	12.01	4.19	
0.00	0.06	-9.76	0.00	0.00	0.00	14.79	12.00	4.19	
0.00	0.06	-9.75	0.00	0.00	0.00	14.79	12.00	4.20	
0.00	0.06	-9.75	0.00	0.00	0.00	14.79	12.00	4.20	
0.00	0.05	-9.76	0.00	0.00	0.00	14.79	12.00	4.20	
0.00	0.05	-9.76	0.00	0.00	0.00	14.79	12.00	4.20	
0.00	0.05	-9.76	0.00	0.00	0.00	14.79	12.00	4.20	
0.00	0.05	-9.76	0.00	0.00	0.00	14.79	12.00	4.20	
0.00	0.05	-9.75	0.00	0.00	0.00	14.79	12.00	4.20	
0.00	0.05	-9.75	0.00	0.00	0.00	14.79	12.00	4.20	
0.00	0.05	-9.75	0.00	0.00	0.00	14.79	12.00	4.20	
-0.00	0.06	-9.75	0.00	0.00	0.00	14.79	12.00	4.20	
-0.00	0.06	-9.75	0.00	0.00	0.00	14.79	12.00	4.20	
-0.00	0.06	-9.75	0.00	0.00	0.00	14.79	12.00	4.20	
-0.00	0.07	-9.76	0.00	-0.00	0.00	14.79	12.00	4.20	
-0.01	0.06	-9.76	0.00	-0.00	0.00	14.79	12.00	3.56	
-0.02	0.06	-9.76	0.00	-0.00	0.00	14.79	12.00	3.13	
-0.02	0.06	-9.76	0.00	-0.00	0.00	14.79	12.00	2.86	
-0.02	0.06	-9.76	0.00	-0.00	0.01	14.79	12.00	2.68	
-0.01	0.06	-9.76	0.00	-0.00	0.01	14.79	12.00	2.57	
-0.01	0.06	-9.75	0.00	-0.00	0.01	14.79	12.00	2.49	
-0.00	0.07	-9.75	0.00	-0.00	0.01	14.79	12.00	2.44	
-0.00	0.07	-9.74	0.00	-0.00	0.01	14.79	12.00	2.41	
-0.00	0.07	-9.74	0.00	-0.00	0.01	14.79	12.00	2.39	
-0.00	0.06	-9.73	0.00	-0.00	0.01	14.79	12.00	2.38	
-0.00	0.06	-9.73	0.00	-0.00	0.01	14.79	12.00	2.37	
-0.00	0.06	-9.74	0.00	-0.00	0.01	14.79	12.00	2.36	
-0.00	0.06	-9.74	0.00	-0.00	0.01	14.79	12.00	2.36	
-0.01	0.07	-9.74	0.00	-0.00	0.01	14.79	12.00	2.36	
-0.00	0.06	-9.75	0.00	-0.00	0.00	14.79	12.00	2.36	
-0.00	0.06	-9.75	0.00	-0.00	0.00	14.79	12.00	2.35	
-0.00	0.05	-9.76	0.00	-0.00	0.00	14.79	12.00	2.35	
-0.00	0.05	-9.76	0.00	-0.00	0.00	14.79	12.00	2.35	
-0.01	0.05	-9.75	0.00	-0.00	-0.00	14.79	12.00	2.35	
-0.01	0.06	-9.75	0.01	-0.00	-0.01	14.79	12.00	2.35	
-0.01	0.06	-9.75	0.01	-0.00	-0.01	14.79	12.00	2.35	
-0.01	0.06	-9.75	0.01	-0.00	-0.01	14.79	12.00	2.35	
-0.01	0.06	-9.76	0.01	-0.00	-0.01	14.73	11.78	1.17	
-0.01	0.06	-9.77	0.00	-0.00	-0.01	14.69	11.63	0.39	
-0.01	0.06	-9.77	0.00	-0.00	-0.01	14.67	11.54	-0.11	
-0.01	0.06	-9.78	0.00	-0.00	-0.01	14.65	11.48	-0.43	
-0.01	0.06	-9.78	0.00	-0.00	-0.00	14.64	11.44	-0.65	
-0.01	0.06	-9.78	0.00	0.00	-0.00	14.63	11.41	-0.78	
-0.01	0.06	-9.78	0.00	0.00	-0.00	14.63	11.40	-0.87	
-0.01	0.05	-9.77	0.00	0.00	-0.00	14.62	11.39	-0.93	
-0.01	0.05	-9.77	-0.00	0.00	-0.00	14.62	11.38	-0.97	
-0.01	0.05	-9.77	-0.00	0.00	-0.00	14.62	11.38	-0.99	
-0.01	0.04	-9.76	-0.00	0.00	-0.00	14.62	11.37	-1.01	
-0.01	0.05	-9.76	-0.00	0.00	0.00	14.62	11.37	-1.02	
-0.01	0.05	-9.76	-0.00	0.00	0.00	14.62	11.37	-1.03	
-0.00	0.05	-9.76	-0.00	0.00	0.00	14.62	11.37	-1.03	
-0.01	0.05	-9.76	0.00	0.00	0.00	14.62	11.37	-1.03	
-0.01	0.05	-9.76	0.00	0.00	0.00	14.62	11.37	-1.04	
-0.01	0.06	-9.77	0.00	0.00	0.00	14.62	11.37	-1.04	
-0.01	0.06	-9.77	0.00	0.00	0.00	14.62	11.37	-1.04	
-0.00	0.06	-9.77	0.00	-0.00	0.00	14.62	11.37	-1.04	
0.01	0.05	-9.77	0.00	-0.00	0.00	14.62	11.37	-1.04	
0.01	0.05	-9.77	0.00	-0.00	0.00	14.62	11.37	-1.04	
0.01	0.05	-9.77	0.00	-0.00	0.00	14.62	11.37	-1.04	
0.01	0.05	-9.78	0.01	-0.00	-0.00	14.68	11.68	-1.36	
0.01	0.05	-9.78	0.01	-0.00	-0.00	14.72	11.88	-1.57	
0.01	0.05	-9.78	0.01	-0.00	-0.00	14.75	12.01	-1.71	
0.01	0.04	-9.78	0.02	-0.00	-0.00	14.76	12.09	-1.80	
0.01	0.04	-9.78	0.02	-0.00	-0.01	14.77	12.15	-1.86	
0.01	0.04	-9.78	0.02	-0.00	-0.01	14.78	12.19	-1.90	
0.01	0.03	-9.77	0.02	-0.00	-0.01	14.79	12.21	-1.92	
0.01	0.03	-9.77	0.02	-0.00	-0.01	14.79	12.22	-1.94	
0.00	0.04	-9.77	0.02	-0.00	-0.01	14.79	12.23	-1.95	
0.00	0.04	-9.77	0.01	-0.00	-0.01	14.79	12.24	-1.95	
0.00	0.04	-9.77	0.01	-0.00	-0.01	14.79	12.24	-1.96	
0.00	0.04	-9.77	0.01	-0.00	-0.01	14.79	12.25	-1.96	
0.01	0.04	-9.78	0.01	-0.00	-0.01	14.79	12.25	-1.96	
0.01	0.04	-9.78	0.01	-0.01	-0.01	14.79	12.25	-1.96	
0.01	0.04	-9.79	0.00	-0.00	-0.01	14.79	12.25	-1.96	
0.01	0.04	-9.79	0.00	-0.00	-0.01	14.79	12.25	-1.96	
0.01	0.04	-9.79	0.00	-0.00	-0.00	14.79	12.25	-1.97	
0.01	0.04	-9.80	-0.00	-0.00	-0.00	14.79	12.25	-1.97	
0.00	0.04	-9.80	-0.00	-0.00	-0.00	14.79	12.25	-1.97	
0.00	0.04	-9.80	-0.00	-0.00	-0.00	14.79	12.25	-1.97	
0.00	0.04	-9.80	-0.00	-0.00	-0.00	14.79	12.25	-1.97	
-0.00	0.04	-9.80	-0.00	-0.00	-0.00	14.79	12.25	-1.97	
-0.00	0.04	-9.80	-0.00	-0.00	-0.00	14.67	12.61	-3.05	
-0.00	0.04	-9.80	0.00	-0.00	-0.00	14.59	12.84	-3.75	
-0.00	0.03	-9.79	0.00	-0.00	-0.00	14.54	12.99	-4.20	
0.00	0.04	-9.80	0.00	0.00	-0.00	14.50	13.08	-4.50	
0.00	0.04	-9.81	0.00	0.00	-0.00	14.48	13.15	-4.69	
0.00	0.04	-9.82	0.00	0.00	-0.00	14.47	13.19	-4.82	
0.00	0.04	-9.82	0.00	0.00	-0.00	14.46	13.21	-4.90	
-0.00	0.04	-9.80	0.00	0.00	-0.00	14.45	13.23	-4.95	
-0.00	0.04	-9.79	0.00	0.00	-0.00	14.45	13.24	-4.99	
-0.01	0.04	-9.78	0.00	0.00	-0.00	14.44	13.25	-5.01	
-0.00	0.04	-9.78	0.00	0.00	-0.00	14.44	13.25	-5.02	
-0.00	0.03	-9.77	0.00	0.00	-0.00	14.44	13.26	-5.03	
-0.00	0.03	-9.77	0.00	0.00	-0.00	14.44	13.26	-5.04	
-0.00	0.03	-9.77	0.00	0.00	-0.00	14.44	13.26	-5.04	
-0.00	0.03	-9.78	0.00	0.00	0.00	14.44	13.26	-5.05	
-0.00	0.03	-9.78	0.00	0.00	0.00	14.44	13.26	-5.05	
-0.00	0.03	-9.78	0.00	0.00	0.00	14.44	13.26	-5.05	
-0.00	0.03	-9.78	0.00	0.00	0.00	14.44	13.26	-5.05	
-0.00	0.02	-9.77	0.00	0.00	0.00	14.44	13.26	-5.05	
-0.00	0.02	-9.77	0.00	0.00	0.00	14.44	13.26	-5.05	
-0.00	0.02	-9.76	0.00	0.00	0.00	14.44	13.26	-5.05	
-0.00	0.03	-9.77	0.00	0.00	0.00	14.44	13.26	-5.05	
-0.00	0.03	-9.78	0.00	0.00	0.00	14.44	13.26	-5.05	
0.00	0.04	-9.78	-0.00	0.00	0.00	14.44	13.26	-5.05	
0.00	0.04	-9.78	-0.00	0.00	0.00	14.44	13.26	-5.05	
-0.00	0.04	-9.78	0.00	0.00	-0.00	14.44	13.09	-3.32	
-0.00	0.04	-9.79	0.00	0.00	-0.00	14.44	12.97	-2.20	
-0.00	0.04	-9.79	0.00	0.00	-0.00	14.44	12.90	-1.47	
-0.00	0.04	-9.79	0.00	0.00	-0.00	14.44	12.85	-1.00	
-0.00	0.04	-9.78	0.00	0.00	-0.00	14.44	12.82	-0.69	
-0.00	0.04	-9.78	-0.00	0.00	-0.00	14.44	12.80	-0.49	
-0.00	0.03	-9.77	-0.00	0.00	-0.00	14.44	12.78	-0.36	
-0.01	0.04	-9.77	-0.00	0.00	0.00	14.44	12.77	-0.27	
-0.01	0.04	-9.76	-0.00	0.00	0.00	14.44	12.77	-0.22	
-0.02	0.04	-9.76	-0.00	0.00	0.00	14.44	12.76	-0.18	
-0.02	0.04	-9.76	-0.00	0.00	0.00	14.44	12.76	-0.16	
-0.02	0.04	-9.76	-0.00	0.00	0.00	14.44	12.76	-0.14	
-0.02	0.04	-9.76	-0.00	0.00	0.00	14.44	12.76	-0.13	
-0.02	0.04	-9.77	-0.00	0.00	0.00	14.44	12.76	-0.13	
-0.02	0.04	-9.77	-0.00	0.00	0.00	14.44	12.76	-0.12	
-0.04	0.05	-9.76	-0.00	0.00	0.01	14.44	12.76	-0.12	
-0.05	0.06	-9.75	-0.00	0.00	0.01	14.44	12.76	-0.12	
-0.06	0.06	-9.75	-0.00	0.00	0.01	14.44	12.76	-0.12	
-0.03	0.07	-9.78	-0.03	0.01	0.02	14.44	12.76	-0.12	
-0.01	0.07	-9.80	-0.05	0.01	0.02	14.44	12.76	-0.12	
-0.00	0.07	-9.81	-0.06	0.01	0.02	14.44	12.76	-0.12	
0.01	0.07	-9.81	-0.07	0.01	0.03	14.44	12.76	-0.12	
0.01	0.07	-9.79	-0.06	0.01	0.02	14.13	12.80	5.39	
0.01	0.07	-9.78	-0.05	0.01	0.01	13.93	12.83	8.97	
0.01	0.07	-9.76	-0.04	0.01	0.01	13.79	12.85	11.30	
0.01	0.07	-9.76	-0.04	0.01	0.01	13.71	12.86	12.81	
-0.00	0.07	-9.75	-0.03	0.00	0.00	13.65	12.87	13.79	
-0.01	0.06	-9.75	-0.02	0.00	0.00	13.62	12.87	14.43	
-0.01	0.06	-9.75	-0.01	0.00	0.00	13.59	12.88	14.85	
-0.01	0.06	-9.74	-0.01	0.00	0.01	13.58	12.88	15.12	
-0.00	0.06	-9.73	-0.01	0.01	0.01	13.57	12.88	15.29	
-0.00	0.06	-9.72	-0.00	0.01	0.01	13.56	12.88	15.41	
-0.00	0.05	-9.72	-0.00	0.01	0.01	13.56	12.88	15.48	
-0.01	0.06	-9.73	-0.00	0.01	0.00	13.56	12.88	15.53	
-0.01	0.07	-9.74	-0.00	0.01	-0.00	13.55	12.88	15.56	
-0.01	0.07	-9.75	-0.00	0.01	-0.00	13.55	12.88	15.58	
-0.01	0.07	-9.74	-0.00	0.01	-0.00	13.55	12.88	15.59	
-0.01	0.07	-9.73	-0.00	0.00	-0.00	13.55	12.88	15.60	
-0.02	0.08	-9.73	-0.00	0.00	-0.01	13.55	12.88	15.61	
-0.02	0.08	-9.73	-0.00	0.00	-0.01	13.55	12.88	15.61	
-0.02	0.08	-9.74	-0.00	0.01	-0.00	13.55	12.88	15.61	
-0.02	0.08	-9.75	-0.00	0.01	-0.00	13.55	12.88	15.61	
-0.02	0.08	-9.76	-0.00	0.01	-0.00	13.55	12.88	15.62	
-0.02	0.08	-9.76	-0.00	0.01	-0.00	13.55	12.88	15.62	
-0.01	0.07	-9.76	-0.00	0.01	-0.00	13.49	12.84	12.70	
-0.00	0.06	-9.77	0.00	0.01	0.00	13.45	12.81	10.81	
-0.00	0.06	-9.77	0.00	0.01	0.00	13.42	12.79	9.58	
0.00	0.06	-9.77	0.00	0.01	0.00	13.40	12.78	8.78	
0.00	0.05	-9.78	0.00	0.01	0.00	13.39	12.77	8.25	
